[20] cameraX: -0.937500, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.618750, perpWallDist: 4.848485, lineHeight: 99
[20] cameraX: -0.937500, nx:          22.000000, ny:          12.000000, rayDirX: -0.740951, rayDirY: -0.671559, diffX: 0.259049, diffY: 0.052809
[21] cameraX: -0.934375, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.616688, perpWallDist: 4.864700, lineHeight: 98
[21] cameraX: -0.934375, nx:          22.000000, ny:          12.000000, rayDirX: -0.742597, rayDirY: -0.669738, diffX: 0.257403, diffY: 0.053051
[22] cameraX: -0.931250, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.614625, perpWallDist: 4.881025, lineHeight: 98
[22] cameraX: -0.931250, nx:          22.000000, ny:          12.000000, rayDirX: -0.744239, rayDirY: -0.667914, diffX: 0.255761, diffY: 0.053289
[23] cameraX: -0.928125, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.612563, perpWallDist: 4.897459, lineHeight: 98
[23] cameraX: -0.928125, nx:          22.000000, ny:          12.000000, rayDirX: -0.745876, rayDirY: -0.666085, diffX: 0.254124, diffY: 0.053523
[24] cameraX: -0.925000, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.610500, perpWallDist: 4.914005, lineHeight: 97
[24] cameraX: -0.925000, nx:          22.000000, ny:          12.000000, rayDirX: -0.747508, rayDirY: -0.664253, diffX: 0.252492, diffY: 0.053753
[25] cameraX: -0.921875, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.608438, perpWallDist: 4.930662, lineHeight: 97
[25] cameraX: -0.921875, nx:          22.000000, ny:          12.000000, rayDirX: -0.749136, rayDirY: -0.662416, diffX: 0.250864, diffY: 0.053978
[26] cameraX: -0.918750, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.606375, perpWallDist: 4.947433, lineHeight: 97
[26] cameraX: -0.918750, nx:          22.000000, ny:          12.000000, rayDirX: -0.750760, rayDirY: -0.660575, diffX: 0.249240, diffY: 0.054200
[27] cameraX: -0.915625, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.604312, perpWallDist: 4.964319, lineHeight: 96
[27] cameraX: -0.915625, nx:          22.000000, ny:          12.000000, rayDirX: -0.752379, rayDirY: -0.658731, diffX: 0.247621, diffY: 0.054418
[28] cameraX: -0.912500, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.602250, perpWallDist: 4.981320, lineHeight: 96
[28] cameraX: -0.912500, nx:          22.000000, ny:          12.000000, rayDirX: -0.753993, rayDirY: -0.656882, diffX: 0.246007, diffY: 0.054632
[29] cameraX: -0.909375, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.600188, perpWallDist: 4.998438, lineHeight: 96
[29] cameraX: -0.909375, nx:          22.000000, ny:          12.000000, rayDirX: -0.755603, rayDirY: -0.655030, diffX: 0.244397, diffY: 0.054842
[30] cameraX: -0.906250, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.598125, perpWallDist: 5.015674, lineHeight: 95
[30] cameraX: -0.906250, nx:          22.000000, ny:          12.000000, rayDirX: -0.757209, rayDirY: -0.653173, diffX: 0.242791, diffY: 0.055048
[31] cameraX: -0.903125, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.596063, perpWallDist: 5.033029, lineHeight: 95
[31] cameraX: -0.903125, nx:          22.000000, ny:          12.000000, rayDirX: -0.758810, rayDirY: -0.651312, diffX: 0.241190, diffY: 0.055250
[32] cameraX: -0.900000, position[0]: 22.000000, position[1]: 12.000000, rayDirX: -1.000000, rayDirY: -0.594000, perpWallDist: 5.050505, lineHeight: 95
[32] cameraX: -0.900000, nx:          22.000000, ny:          12.000000, rayDirX: -0.760406, rayDirY: -0.649448, diffX: 0.239594, diffY: 0.055448
