         420213 function calls (416515 primitive calls) in 2.326 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26113    0.012    0.000    0.017    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\types.py:130(__get__)
     1852    0.017    0.000    0.017    0.000 {built-in method pygame.event.get}
       85    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
        2    0.000    0.000    0.016    0.008 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2961(_call_aside)
        1    0.000    0.000    0.016    0.016 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2976(_initialize_master_working_set)
        1    0.000    0.000    0.015    0.015 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\zipfile.py:5(<module>)
        2    0.015    0.008    0.015    0.008 {method 'tick' of 'Clock' objects}
        1    0.000    0.000    0.015    0.015 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\win32com\__init__.py:5(<module>)
       22    0.000    0.000    0.015    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:688(add_entry)
       68    0.013    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:813(get_data)
   883/78    0.004    0.000    0.014    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:64(_compile)
       50    0.001    0.000    0.014    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1967(find_on_path)
     1852    0.011    0.000    0.014    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.013    0.013 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\shutil.py:5(<module>)
       10    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:900(create_module)
       10    0.013    0.001    0.013    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.012    0.012 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:4(<module>)
       68    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:471(_compile_bytecode)
       68    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.011    0.011 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:5247(pyparsing_common)
     7407    0.010    0.000    0.010    0.000 rts.py:1403(is_in)
        1    0.000    0.000    0.009    0.009 rts.py:1674(configure)
    16847    0.007    0.000    0.009    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:93(rect)
    11838    0.004    0.000    0.009    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:247(get)
        1    0.000    0.000    0.009    0.009 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:275(Specifier)
