         420213 function calls (416515 primitive calls) in 2.326 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:526(_convert)
        5    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:209(__call__)
     7404    0.001    0.000    0.001    0.000 {method 'get_width' of 'pygame.Surface' objects}
        5    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:308(_create_)
        1    0.001    0.001    0.001    0.001 {built-in method _win32sysloader.LoadModule}
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\specifiers.py:214(LegacySpecifier)
     1268    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      116    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\fnmatch.py:11(<module>)
        2    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4540(originalTextFor)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\base64mime.py:25(<module>)
        1    0.001    0.001    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:630(WorkingSet)
       23    0.001    0.000    0.001    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
    106/2    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1343(_parseNoCache)
     4275    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     10/2    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3263(parseImpl)
     1050    0.001    0.000    0.001    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:90(tex)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\header.py:5(<module>)
     9503    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1298(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 rts.py:850(update)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\__init__.py:4(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\lzma.py:9(<module>)
       48    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1895(__or__)
       17    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\abc.py:132(__new__)
       20    0.001    0.000    0.001    0.000 {built-in method nt.access}
        3    0.001    0.000    0.001    0.000 rts.py:877(update)
      136    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\message.py:106(Message)
        5    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:88(__new__)
     16/2    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3603(parseImpl)
       48    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3406(__init__)
        2    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3724(parseImpl)
        3    0.000    0.000    0.001    0.000 rts.py:865(__init__)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\datetime.py:5(<module>)
     20/8    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3413(parseImpl)
       74    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3585(__init__)
       76    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1207(_get_spec)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\six.py:1(<module>)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:92(_path_isdir)
       16    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1177(setResultsName)
      595    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1D7EB7E8}
     7404    0.001    0.000    0.001    0.000 {method 'get_height' of 'pygame.Surface' objects}
      357    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:386(_simple)
        2    0.000    0.000    0.001    0.000 rts.py:763(create_building)
     1306    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:165(append)
        2    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\tokenize.py:450(open)
     1145    0.001    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:276(tell)
      447    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1632(MemoizedZipManifests)
       96    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__init__)
     2656    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2213(EntryPoint)
        1    0.000    0.000    0.001    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\signal.py:1(<module>)
       14    0.000    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1973(__call__)
      488    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      562    0.001    0.000    0.001    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pygame\sysfont.py:58(_addfont)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(__exit__)
      883    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:105(__init__)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:170(__exit__)
     1318    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:153(__len__)
        4    0.000    0.000    0.000    0.000 rts.py:944(light)
       41    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:374(_mk_bitmap)
        4    0.000    0.000    0.000    0.000 rts.py:947(radius_effect)
     1809    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
     1997    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pygame\pkgdata.py:34(getResource)
     1193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:363(_verbose_message)
      116    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2306(__init__)
     1069    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:101(fixup)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\errors.py:5(<module>)
     2103    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
     7134    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:737(create_module)
       67    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2350(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3219(setResultsName)
      148    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:312(_class_escape)
      193    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        7    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      660    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2568(from_filename)
       30    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:763(add)
       76    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(spec_from_file_location)
      143    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:78(opengroup)
       60    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:260(getuntil)
       36    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4099(__init__)
     17/3    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3185(streamline)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2738(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\zipfile.py:691(ZipExtFile)
       15    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2607(insert_on)
      202    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2159(_normalize_cached)
       30    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1373(safe_name)
     1001    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
       29    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1523(_fn)
       36    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\version.py:236(__str__)
       30    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\re.py:175(sub)
        4    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\six.py:91(__get__)
      177    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:362(_escape)
      603    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:35(_get_bothseps)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\calendar.py:6(<module>)
       13    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2154(normalize_path)
        4    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\six.py:80(_import_module)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2737(DistInfoDistribution)
        4    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:541(<dictcomp>)
        4    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       14    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:530(abspath)
       41    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:376(<listcomp>)
       78    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:217(__init__)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:716(find_spec)
        2    0.000    0.000    0.000    0.000 rts.py:992(__init__)
       36    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\version.py:343(_cmpkey)
     1589    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1824(__mul__)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1206(resource_stream)
      835    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      145    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     10/3    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3628(streamline)
     12/2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1873(makeOptionalList)
      142    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
     1455    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
       14    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:465(normpath)
        2    0.000    0.000    0.000    0.000 rts.py:1011(update)
      128    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\abc.py:178(__instancecheck__)
      377    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:856(__exit__)
      385    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      595    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\_encoded_words.py:6(<module>)
       49    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2701(__str__)
      447    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\copyreg.py:87(__newobj__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:45(_r_long)
      377    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\_compression.py:1(<module>)
       34    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\encodings\cp850.py:18(encode)
       26    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3867(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3717(__init__)
       30    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:51(__setitem__)
      105    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2435(key)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:428(get_provider)
        7    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3805(__init__)
  498/492    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       36    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1190(resource_exists)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1261(addParseAction)
       17    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\abc.py:135(<setcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\maps\__init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1542(__init__)
       78    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       24    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2184(yield_lines)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1573(get_resource_stream)
      452    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:75(groups)
       60    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      339    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      207    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
      140    0.000    0.000    0.000    0.000 rts.py:1348(get_dist)
      7/2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\abc.py:194(__subclasscheck__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
       52    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\pkgutil.py:1(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:870(_find_spec_legacy)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1546(_setup_prefix)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3122(ParseExpression)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:436(spec_from_loader)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\_structures.py:4(<module>)
       22    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:1929(find_distributions)
     1792    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        9    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\datetime.py:338(__new__)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
    82/80    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:345(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\abc.py:151(register)
       34    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
      149    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\plistlib.py:746(_BinaryPlistWriter)
        1    0.000    0.000    0.000    0.000 rts.py:1463(__init__)
       24    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2688(parseImpl)
       59    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:295(__setattr__)
       33    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\codecs.py:318(decode)
      185    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      519    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\win32com\__init__.py:26(SetupEnvironment)
       14    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3442(__str__)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2640(Regex)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\tempfile.py:24(<module>)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.000    0.000 {built-in method pygame.time.Clock}
      136    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\version.py:207(<genexpr>)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
      125    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\traceback.py:276(walk_stack)
       27    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2617(__str__)
       57    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2562(__getattr__)
        1    0.000    0.000    0.000    0.000 rts.py:1467(set_caption)
       42    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\collections\__init__.py:414(<genexpr>)
      135    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\_weakrefset.py:70(__contains__)
        6    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      402    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\functools.py:43(update_wrapper)
      357    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:161(__setitem__)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\pprint.py:35(<module>)
      256    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3136(<genexpr>)
        1    0.000    0.000    0.000    0.000 rts.py:1559(mod_basic)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\calendar.py:47(_localized_month)
       12    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1992(suppress)
       15    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2633(<listcomp>)
       30    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
       78    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:797(fix_flags)
        4    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1788(__radd__)
      156    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:513(isstring)
      137    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       58    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\_weakrefset.py:36(__init__)
     10/9    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3300(__str__)
       68    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       33    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\_compression.py:9(BaseStream)
        2    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\tokenize.py:357(detect_encoding)
        1    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\calendar.py:49(<listcomp>)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
        5    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:400(_find_new_)
      100    0.000    0.000    0.000    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\linecache.py:147(lazycache)
