player.x     = 3.150791
player.y     = 5.738585
player.a     = 264.799469
player.cos_a = -0.090642
player.sin_a = 0.995884
Col Dist    Height
267. 0.000000 0
268. 0.000000 0
269. 0.000000 0
270. 0.000000 0
271. 0.000000 0
272. 0.000000 0
273. 0.000000 0
274. 0.000000 0
275. 0.000000 0
276. 0.000000 0
277. 0.000000 0
278. 0.000000 0
279. 0.000000 0
280. 0.000000 0
281. 0.000000 0
282. 0.000000 0
283. 0.000000 0
284. 0.000000 0
285. 0.000000 0
286. 0.000000 0
287. 0.000000 0
288. 0.000000 0
289. 0.000000 0
290. 0.000000 0
291. 0.000000 0
292. 0.000000 0
293. 0.000000 0
294. 0.000000 0
295. 0.000000 0
296. 0.000000 0
297. 0.000000 0
298. 0.000000 0
299. 0.000000 0
300. 0.000000 0
301. 0.000000 0
302. 0.000000 0
303. 0.000000 0
304. 0.000000 0
305. 0.000000 0
306. 0.000000 0
307. 0.000000 0
308. 0.000000 0
309. 0.000000 0
310. 0.000000 0
311. 0.000000 0
312. 0.000000 0
313. 0.000000 0
314. 0.000000 0
315. 0.000000 0
316. 0.000000 0
317. 0.000000 0
318. 0.000000 0
319. 0.000000 0
320. 0.000000 0
321. 0.000000 0
322. 0.000000 0
323. 0.000000 0
324. 0.000000 0
325. 0.000000 0
326. 0.000000 0
327. 0.000000 0
328. 0.000000 0
329. 0.000000 0
330. 0.000000 0
331. 0.000000 0
332. 0.000000 0
333. 0.000000 0
334. 0.000000 0
335. 0.000000 0
336. 0.000000 0
337. 0.000000 0
338. 0.000000 0
339. 0.000000 0
340. 0.000000 0
341. 0.000000 0
342. 0.000000 0
343. 0.000000 0
344. 0.000000 0
345. 0.000000 0
346. 0.000000 0
347. 0.000000 0
348. 0.000000 0
349. 0.000000 0
350. 0.000000 0
351. 0.998324 100
352. 0.998138 100
353. 0.997951 100
354. 0.997765 100
355. 0.997579 100
356. 0.997393 100
357. 0.997207 100
358. 0.997021 100
359. 0.996835 100
360. 0.996650 100
361. 0.996464 100
362. 0.996278 100
363. 0.996093 100
364. 0.995908 100
365. 0.000000 0
366. 0.000000 0
367. 0.000000 0
368. 0.000000 0
369. 0.000000 0
370. 0.000000 0
371. 0.000000 0
372. 0.000000 0
373. 0.000000 0
374. 0.000000 0
375. 0.000000 0
376. 0.000000 0
377. 0.000000 0
378. 0.000000 0
379. 0.000000 0
380. 0.000000 0
381. 0.000000 0
382. 0.000000 0
383. 0.000000 0
384. 0.000000 0
385. 0.000000 0
386. 0.000000 0
387. 0.000000 0
388. 0.000000 0
389. 0.000000 0
390. 0.000000 0
391. 0.000000 0
392. 0.000000 0
393. 0.000000 0
394. 0.000000 0
395. 0.000000 0
396. 0.000000 0
397. 0.000000 0
398. 0.000000 0
399. 0.000000 0
400. 0.000000 0
401. 0.000000 0
402. 0.000000 0
403. 0.000000 0
404. 0.000000 0
405. 0.000000 0
406. 0.000000 0
407. 0.000000 0
408. 0.000000 0
409. 0.000000 0
410. 0.000000 0
411. 0.000000 0
412. 0.000000 0
413. 0.000000 0
414. 0.000000 0
415. 0.000000 0
416. 0.000000 0
417. 0.000000 0
418. 0.000000 0
419. 0.000000 0
420. 0.000000 0
421. 0.000000 0
422. 0.000000 0
423. 0.000000 0
424. 0.000000 0
425. 0.000000 0
426. 0.000000 0
427. 0.000000 0
428. 0.000000 0
429. 0.000000 0
430. 0.000000 0
431. 0.000000 0
432. 0.000000 0
433. 0.000000 0
434. 0.000000 0
435. 0.000000 0
436. 0.000000 0
437. 0.000000 0
438. 0.000000 0
439. 0.000000 0
440. 0.000000 0
441. 0.000000 0
442. 0.000000 0
443. 0.000000 0
444. 0.000000 0
445. 0.981111 101
446. 0.980932 101
447. 0.980752 101
448. 0.980572 101
449. 0.980392 101
450. 0.980213 102
451. 0.980033 102
452. 0.979853 102
453. 0.979674 102
454. 0.979495 102
455. 0.979315 102
456. 0.979136 102
457. 0.978957 102
458. 0.978778 102
459. 0.978599 102
460. 0.978420 102
461. 0.978241 102
462. 0.978062 102
463. 0.977883 102
464. 0.977704 102
465. 0.977526 102
466. 0.977347 102
467. 0.977168 102
468. 0.976990 102
469. 0.976812 102
470. 0.976633 102
471. 0.976455 102
472. 0.976277 102
473. 0.976099 102
474. 0.975920 102
475. 0.975742 102
476. 0.975564 102
477. 0.975387 102
478. 0.975209 102
479. 0.975031 102
480. 0.974853 102
481. 0.974676 102
482. 0.974498 102
483. 0.974321 102
484. 0.974143 102
485. 0.973966 102
486. 0.973788 102
487. 0.973611 102
488. 0.973434 102
489. 0.973257 102
490. 0.973080 102
491. 0.972903 102
492. 0.972726 102
493. 0.972549 102
494. 0.972372 102
495. 0.972196 102
496. 0.972019 102
497. 0.971842 102
498. 0.971666 102
499. 0.971489 102
500. 0.971313 102
501. 0.971137 102
502. 0.970960 102
503. 0.970784 103
504. 0.970608 103
505. 0.970432 103
506. 0.970256 103
507. 0.970080 103
508. 0.969904 103
509. 0.969728 103
510. 0.969552 103
511. 0.969377 103
512. 0.969201 103
513. 0.969025 103
514. 0.968850 103
515. 0.968674 103
516. 0.968499 103
517. 0.968324 103
518. 0.968148 103
519. 0.967973 103
520. 0.967798 103
521. 0.967623 103
522. 0.967448 103
523. 0.967273 103
524. 0.967098 103
525. 0.966923 103
526. 0.966749 103
527. 0.966574 103
528. 0.966399 103
529. 0.966225 103
530. 0.966050 103
531. 0.965876 103
532. 0.965701 103
533. 0.965527 103
534. 0.965353 103
535. 0.965179 103
536. 0.965005 103
537. 0.964831 103
538. 0.964657 103
539. 0.964483 103
540. 0.964309 103
541. 0.964135 103
542. 1.927922 51
543. 1.927575 51
544. 1.927228 51
545. 1.926881 51
546. 1.926534 51
547. 1.926187 51
548. 1.925840 51
549. 1.925493 51
550. 1.925147 51
551. 1.924800 51
552. 1.924454 51
553. 1.924108 51
554. 1.923762 51
555. 1.923416 51
556. 1.923070 52
557. 1.922725 52
558. 1.922379 52
559. 1.922034 52
560. 1.921689 52
561. 1.921344 52
562. 1.920999 52
563. 1.920654 52
564. 1.920309 52
565. 1.919964 52
566. 1.919620 52
567. 1.919275 52
568. 1.918931 52
569. 1.918587 52
570. 1.918243 52
571. 1.917899 52
572. 1.917555 52
573. 1.917212 52
574. 1.916868 52
575. 1.916525 52
576. 1.916182 52
577. 1.915838 52
578. 1.915495 52
579. 1.915152 52
580. 1.914810 52
581. 1.914467 52
582. 1.914124 52
583. 1.913782 52
584. 1.913440 52
585. 1.913098 52
586. 1.912756 52
587. 1.912414 52
588. 1.912072 52
589. 1.911730 52
590. 1.911389 52
591. 1.911047 52
592. 1.910706 52
593. 1.910365 52
594. 1.910024 52
595. 1.909683 52
596. 1.909342 52
597. 1.909001 52
598. 1.908660 52
599. 1.908320 52
600. 1.907980 52
601. 1.907639 52
602. 1.907299 52
603. 1.906959 52
604. 1.906619 52
605. 1.906280 52
606. 1.905940 52
607. 1.905601 52
608. 1.905261 52
609. 1.904922 52
610. 1.904583 52
611. 1.904244 52
612. 1.903905 52
613. 1.903566 52
614. 1.903228 52
615. 1.902889 52
616. 1.902551 52
617. 1.902212 52
618. 1.901874 52
619. 1.901536 52
620. 1.901198 52
621. 1.900860 52
622. 1.900523 52
623. 1.900185 52
624. 1.899848 52
625. 1.899510 52
626. 1.899173 52
627. 1.898836 52
628. 1.898499 52
629. 1.898162 52
630. 1.897825 52
631. 1.897489 52
632. 1.897152 52
633. 1.896816 52
634. 1.896480 52
635. 1.896144 52
636. 1.895808 52
637. 1.895472 52
638. 1.895136 52
639. 1.894800 52
