Line n° nb 	 dist 	 cdist 	 line 	 wall 	 x1 	 y1 	 angle
Line n°582 -72	58.27828078896977	8	4	81	50	-123.15625	
Line n°583 -72	58.04983734252692	8	4	81	50	-123.015625	
Line n°584 -72	57.82139389608409	8	4	81	50	-122.875	
Line n°585 -72	57.67453739479943	8	4	81	50	-122.734375	
Line n°586 -72	57.44700046996945	8	4	82	50	-122.59375	
Line n°587 -72	57.075566675681806	8	4	82	50	-122.453125	
Line n°588 -72	57.075566675681806	8	4	82	50	-122.3125	
Line n°589 -72	56.848929106285965	8	4	82	50	-122.171875	
Line n°590 -71	56.70705755693976	8	4	82	50	-122.03125	
Line n°591 -71	56.48131226143914	8	4	83	50	-121.890625	
Line n°592 -71	56.116578685963695	8	4	83	50	-121.75	
Line n°593 -71	56.116578685963695	8	4	83	50	-121.609375	
Line n°594 -71	55.89171866613173	8	4	83	50	-121.46875	
Line n°595 -71	55.53071293116716	8	4	84	50	-121.328125	
Line n°596 -71	55.53071293116716	8	4	84	50	-121.1875	
Line n°597 -71	55.17251657935403	8	4	84	50	-121.046875	
Line n°598 -71	55.17251657935403	8	4	84	50	-120.90625	
Line n°599 -70	54.949406442944884	8	4	84	50	-120.765625	
Line n°600 -70	54.59485157500789	8	4	85	50	-120.625	
Line n°601 -70	54.59485157500789	8	4	85	50	-120.484375	
Line n°602 -70	54.37260620656933	8	4	85	50	-120.34375	
Line n°603 -70	54.021647304286034	8	4	85	50	-120.203125	
Line n°604 -70	54.021647304286034	8	4	85	50	-120.0625	
Line n°605 -70	53.673388085866435	8	4	86	50	-119.921875	
Line n°606 -70	53.673388085866435	8	4	86	50	-119.78125	
Line n°607 -70	53.45285229718509	8	4	86	50	-119.640625	
Line n°608 -70	53.108106696487845	9	4	86	50	-119.5	
Line n°609 -70	53.108106696487845	9	4	86	50	-119.359375	
Line n°610 -69	52.88841587251409	9	4	86	50	-119.21875	
Line n°611 -69	52.54714043221898	9	4	87	50	-119.078125	
Line n°612 -69	52.54714043221898	9	4	87	50	-118.9375	
Line n°613 -69	52.32828812284056	9	4	87	50	-118.796875	
Line n°614 -69	51.990440071100466	9	4	87	50	-118.65625	
Line n°615 -69	51.990440071100466	9	4	87	50	-118.515625	
Line n°616 -69	51.77241989978049	9	4	88	50	-118.375	
Line n°617 -69	51.4379571369601	9	4	88	50	-118.234375	
Line n°618 -69	51.4379571369601	9	4	88	50	-118.09375	
Line n°619 -69	51.220762799622406	9	4	88	50	-117.953125	
Line n°620 -68	50.88964388534155	9	4	89	50	-117.8125	
Line n°621 -68	50.88964388534155	9	4	89	50	-117.671875	
Line n°622 -68	50.56101458695755	9	4	89	50	-117.53125	
Line n°623 -68	50.56101458695755	9	4	89	50	-117.390625	
Line n°624 -68	50.34545328975022	9	4	89	50	-117.25	
Line n°625 -68	50.02009297973317	9	4	89	50	-117.109375	
Line n°626 -68	50.02009297973317	9	4	89	50	-116.96875	
Line n°627 -68	49.80533902820828	9	4	90	50	-116.828125	
Line n°628 -68	49.4832081009209	9	4	90	50	-116.6875	
Line n°629 -68	49.4832081009209	9	4	90	50	-116.546875	
Line n°630 -68	49.269255470110636	9	4	90	50	-116.40625	
Line n°631 -67	48.95031493124481	9	4	91	50	-116.265625	
Line n°632 -67	48.95031493124481	9	4	91	50	-116.125	
Line n°633 -67	48.73715766337435	9	4	91	50	-115.984375	
Line n°634 -67	48.524000395503926	9	4	91	50	-115.84375	
Line n°635 -67	48.4213691183811	9	4	91	50	-115.703125	
Line n°636 -67	48.209001321873124	9	4	91	50	-115.5625	
Line n°637 -67	47.99663352536517	10	4	92	50	-115.421875	
Line n°638 -67	47.89632696465293	10	4	92	50	-115.28125	
Line n°639 -67	47.684742813150535	10	4	92	50	-115.140625	
